"filename", "language", "XML", "ASP.NET Razor", "C#", "JSON", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Processor.cshtml", "ASP.NET Razor", 0, 235, 0, 0, 0, 0, 0, 0, 0, 10, 245
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Processor.cshtml.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 0, 2, 7, 48
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Product.cshtml", "ASP.NET Razor", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Product.cshtml.cs", "C#", 0, 0, 69, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\ProductTemplatePageModel.cs", "C#", 0, 0, 273, 0, 0, 0, 0, 0, 5, 44, 322
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Ram.cshtml", "ASP.NET Razor", 0, 211, 0, 0, 0, 0, 0, 0, 0, 10, 221
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Ram.cshtml.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Search.cshtml", "ASP.NET Razor", 0, 163, 0, 0, 0, 0, 0, 0, 0, 13, 176
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Search.cshtml.cs", "C#", 0, 0, 122, 0, 0, 0, 0, 0, 0, 24, 146
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Smartphone.cshtml", "ASP.NET Razor", 0, 284, 0, 0, 0, 0, 0, 0, 0, 9, 293
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Smartphone.cshtml.cs", "C#", 0, 0, 47, 0, 0, 0, 0, 0, 2, 10, 59
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Televisor.cshtml", "ASP.NET Razor", 0, 233, 0, 0, 0, 0, 0, 0, 0, 10, 243
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Products\Televisor.cshtml.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 2, 6, 40
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\RealisedOrders.cshtml", "ASP.NET Razor", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\RealisedOrders.cshtml.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Register.cshtml", "ASP.NET Razor", 0, 116, 0, 0, 0, 0, 0, 0, 0, 7, 123
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\RegisterCompleted.cshtml", "ASP.NET Razor", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\RegisterCompleted.cshtml.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\AddOrEditProductViewComponent.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\AddOrEditProduct\Default.cshtml", "ASP.NET Razor", 0, 48, 0, 0, 0, 0, 0, 0, 3, 11, 62
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\BuyProductInProductPageViewComponent.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
